age,sex,job,housing,saving_account,checking_account,credit_amount,duration,risk,purpose,age_group,credit_per_month,saving_score,checking_score
67,male,skilled,own,little,little,1169,6,0,radio/TV,Retired,194.83333333333334,1,1
22,female,skilled,own,little,moderate,5951,48,1,radio/TV,Young,123.97916666666667,1,2
49,male,unskilled_and_non-resident,own,little,little,2096,12,0,education,Middle-aged,174.66666666666666,1,1
45,male,skilled,free,little,little,7882,42,0,furniture/equipment,Middle-aged,187.66666666666666,1,1
53,male,skilled,free,little,little,4870,24,1,car,Middle-aged,202.91666666666666,1,1
35,male,unskilled_and_non-resident,free,little,moderate,9055,36,0,education,Middle-aged,251.52777777777777,1,2
53,male,skilled,own,quite rich,moderate,2835,24,0,furniture/equipment,Middle-aged,118.125,4,2
35,male,highly skilled,rent,little,moderate,6948,36,0,car,Middle-aged,193.0,1,2
61,male,unskilled_and_non-resident,own,rich,moderate,3059,12,0,radio/TV,Middle-aged,254.91666666666666,3,2
28,male,highly skilled,own,little,moderate,5234,30,1,car,Young,174.46666666666667,1,2
25,female,skilled,rent,little,moderate,1295,12,1,car,Young,107.91666666666667,1,2
24,female,skilled,rent,little,little,4308,48,1,business,Young,89.75,1,1
22,female,skilled,own,little,moderate,1567,12,0,radio/TV,Young,130.58333333333334,1,2
60,male,unskilled_and_non-resident,own,little,little,1199,24,1,car,Middle-aged,49.958333333333336,1,1
28,female,skilled,rent,little,little,1403,15,0,car,Young,93.53333333333333,1,1
32,female,unskilled_and_non-resident,own,moderate,little,1282,24,1,radio/TV,Young,53.416666666666664,2,1
53,male,skilled,own,little,moderate,2424,24,0,radio/TV,Middle-aged,101.0,1,2
25,male,skilled,own,little,little,8072,30,0,business,Young,269.06666666666666,1,1
44,female,highly skilled,free,little,moderate,12579,24,1,car,Middle-aged,524.125,1,2
31,male,skilled,own,quite rich,moderate,3430,24,0,radio/TV,Young,142.91666666666666,4,2
48,male,skilled,own,little,little,2134,9,0,car,Middle-aged,237.11111111111111,1,1
44,male,skilled,rent,quite rich,little,2647,6,0,radio/TV,Middle-aged,441.1666666666667,4,1
48,male,unskilled_and_non-resident,rent,little,little,2241,10,0,car,Middle-aged,224.1,1,1
44,male,skilled,own,moderate,moderate,1804,12,0,car,Middle-aged,150.33333333333334,2,2
26,male,skilled,own,little,moderate,2069,10,0,furniture/equipment,Young,206.9,1,2
36,male,unskilled_and_non-resident,own,little,little,1374,6,0,furniture/equipment,Middle-aged,229.0,1,1
39,male,unskilled_and_non-resident,own,little,little,426,6,0,radio/TV,Middle-aged,71.0,1,1
42,female,skilled,rent,rich,rich,409,12,0,radio/TV,Middle-aged,34.083333333333336,3,3
34,male,skilled,own,little,moderate,2415,7,0,radio/TV,Young,345.0,1,2
63,male,skilled,own,little,little,6836,60,1,business,Middle-aged,113.93333333333334,1,1
36,male,skilled,own,rich,moderate,1913,18,0,business,Middle-aged,106.27777777777777,3,2
27,male,skilled,own,little,little,4020,24,0,furniture/equipment,Young,167.5,1,1
30,male,skilled,own,moderate,moderate,5866,18,0,car,Young,325.8888888888889,2,2
57,male,unskilled_and_non-resident,rent,little,moderate,1264,12,0,business,Middle-aged,105.33333333333333,1,2
33,female,highly skilled,own,little,rich,1474,12,0,furniture/equipment,Young,122.83333333333333,1,3
25,male,unskilled_and_non-resident,own,little,moderate,4746,45,1,radio/TV,Young,105.46666666666667,1,2
31,male,skilled,free,little,little,6110,48,0,education,Young,127.29166666666667,1,1
37,male,skilled,own,little,rich,2100,18,1,radio/TV,Middle-aged,116.66666666666667,1,3
37,male,skilled,own,little,rich,1225,10,0,domestic appliances,Middle-aged,122.5,1,3
24,male,skilled,own,little,moderate,458,9,0,radio/TV,Young,50.888888888888886,1,2
30,male,highly skilled,own,quite rich,moderate,2333,30,0,radio/TV,Young,77.76666666666667,4,2
26,male,skilled,own,quite rich,moderate,1158,12,0,radio/TV,Young,96.5,4,2
44,male,unskilled_and_non-resident,own,little,moderate,6204,18,0,repairs,Middle-aged,344.6666666666667,1,2
24,male,skilled,rent,moderate,little,6187,30,0,car,Young,206.23333333333332,2,1
58,female,unskilled_and_non-resident,free,little,little,6143,48,1,car,Middle-aged,127.97916666666667,1,1
35,female,highly skilled,own,little,little,1393,11,0,car,Middle-aged,126.63636363636364,1,1
39,male,skilled,own,quite rich,moderate,2299,36,0,radio/TV,Middle-aged,63.861111111111114,4,2
23,female,unskilled_and_non-resident,rent,quite rich,little,1352,6,0,car,Young,225.33333333333334,4,1
39,male,unskilled_and_non-resident,own,little,little,7228,11,0,car,Middle-aged,657.0909090909091,1,1
28,female,skilled,own,moderate,moderate,2073,12,0,radio/TV,Young,172.75,2,2
29,male,unskilled_and_non-resident,own,little,moderate,2333,24,0,furniture/equipment,Young,97.20833333333333,1,2
30,male,highly skilled,own,little,moderate,5965,27,0,car,Young,220.92592592592592,1,2
25,male,skilled,own,little,little,1262,12,0,radio/TV,Young,105.16666666666667,1,1
31,male,skilled,own,little,moderate,3378,18,0,car,Young,187.66666666666666,1,2
57,male,skilled,free,little,moderate,2225,36,1,car,Middle-aged,61.80555555555556,1,2
26,male,unskilled_and_non-resident,own,little,moderate,783,6,0,car,Young,130.5,1,2
52,male,highly skilled,own,little,moderate,6468,12,1,radio/TV,Middle-aged,539.0,1,2
31,female,skilled,own,little,little,9566,36,0,radio/TV,Young,265.72222222222223,1,1
23,female,highly skilled,own,little,rich,1961,18,0,car,Young,108.94444444444444,1,3
23,female,unskilled_and_non-resident,rent,little,little,6229,36,1,furniture/equipment,Young,173.02777777777777,1,1
27,male,skilled,own,little,moderate,1391,9,0,business,Young,154.55555555555554,1,2
50,male,skilled,own,little,moderate,1537,15,0,radio/TV,Middle-aged,102.46666666666667,1,2
61,male,highly skilled,free,little,moderate,1953,36,1,business,Middle-aged,54.25,1,2
25,male,skilled,own,little,moderate,14421,48,1,business,Young,300.4375,1,2
26,female,skilled,own,little,little,3181,24,0,radio/TV,Young,132.54166666666666,1,1
48,male,skilled,own,little,moderate,5190,27,0,repairs,Middle-aged,192.22222222222223,1,2
29,female,skilled,own,little,little,2171,12,0,radio/TV,Young,180.91666666666666,1,1
22,male,skilled,own,rich,moderate,1007,12,0,car,Young,83.91666666666667,3,2
37,male,skilled,free,little,little,1819,36,1,education,Middle-aged,50.52777777777778,1,1
25,female,skilled,own,little,moderate,2394,36,0,radio/TV,Young,66.5,1,2
30,female,skilled,own,little,little,8133,36,0,car,Young,225.91666666666666,1,1
46,male,unskilled_and_non-resident,rent,little,moderate,730,7,0,radio/TV,Middle-aged,104.28571428571429,1,2
51,male,highly skilled,free,little,little,1164,8,0,vacation/others,Middle-aged,145.5,1,1
41,female,unskilled_and_non-resident,own,little,moderate,5954,42,0,business,Middle-aged,141.76190476190476,1,2
40,male,highly skilled,own,little,little,1977,36,1,education,Middle-aged,54.916666666666664,1,1
66,male,highly skilled,free,little,little,1526,12,0,car,Retired,127.16666666666667,1,1
34,male,skilled,own,little,little,3965,42,1,radio/TV,Young,94.4047619047619,1,1
51,male,skilled,own,little,moderate,4771,11,0,radio/TV,Middle-aged,433.72727272727275,1,2
39,male,unskilled_and_non-resident,own,little,moderate,9436,54,0,car,Middle-aged,174.74074074074073,1,2
22,male,skilled,own,little,moderate,3832,30,0,furniture/equipment,Young,127.73333333333333,1,2
44,female,skilled,own,little,moderate,5943,24,1,radio/TV,Middle-aged,247.625,1,2
47,male,skilled,own,quite rich,moderate,1213,15,0,radio/TV,Middle-aged,80.86666666666666,4,2
24,female,unskilled_and_non-resident,rent,moderate,moderate,1568,18,0,business,Young,87.11111111111111,2,2
58,female,unskilled_and_non-resident,own,little,little,1755,24,0,vacation/others,Middle-aged,73.125,1,1
52,male,unskilled_and_non-resident,own,little,little,2315,10,0,radio/TV,Middle-aged,231.5,1,1
29,female,highly skilled,own,little,little,1412,12,0,business,Young,117.66666666666667,1,1
27,female,skilled,own,little,moderate,1295,18,0,furniture/equipment,Young,71.94444444444444,1,2
47,male,skilled,free,moderate,moderate,12612,36,1,education,Middle-aged,350.3333333333333,2,2
30,male,highly skilled,own,moderate,little,2249,18,0,car,Young,124.94444444444444,2,1
28,male,skilled,own,little,little,1108,12,1,repairs,Young,92.33333333333333,1,1
56,male,skilled,own,little,little,618,12,0,radio/TV,Middle-aged,51.5,1,1
54,male,skilled,own,little,little,1409,12,0,car,Middle-aged,117.41666666666667,1,1
33,female,unskilled_and_non-resident,own,little,moderate,797,12,1,radio/TV,Young,66.41666666666667,1,2
20,male,skilled,rent,little,rich,3617,24,0,furniture/equipment,Young,150.70833333333334,1,3
54,male,skilled,own,rich,moderate,1318,12,0,car,Middle-aged,109.83333333333333,3,2
58,male,skilled,rent,little,moderate,15945,54,1,business,Middle-aged,295.27777777777777,1,2
61,female,skilled,own,little,moderate,2012,12,0,education,Middle-aged,167.66666666666666,1,2
34,male,skilled,own,moderate,moderate,2622,18,0,business,Young,145.66666666666666,2,2
36,male,skilled,own,little,moderate,2337,36,0,radio/TV,Middle-aged,64.91666666666667,1,2
36,male,highly skilled,rent,little,moderate,7057,20,0,car,Middle-aged,352.85,1,2
41,male,unskilled_and_non-resident,rent,moderate,moderate,1469,24,0,car,Middle-aged,61.208333333333336,2,2
24,male,skilled,rent,little,moderate,2323,36,0,radio/TV,Young,64.52777777777777,1,2
24,female,skilled,own,little,little,932,6,0,radio/TV,Young,155.33333333333334,1,1
35,male,skilled,rent,little,moderate,1919,9,0,furniture/equipment,Middle-aged,213.22222222222223,1,2
26,male,skilled,rent,little,moderate,2445,12,0,car,Young,203.75,1,2
39,male,highly skilled,own,little,moderate,11938,24,1,vacation/others,Middle-aged,497.4166666666667,1,2
39,male,highly skilled,own,little,little,6458,18,1,car,Middle-aged,358.77777777777777,1,1
32,male,skilled,own,little,moderate,6078,12,0,car,Young,506.5,1,2
30,female,skilled,own,little,little,7721,24,0,furniture/equipment,Young,321.7083333333333,1,1
35,male,skilled,own,quite rich,moderate,1410,14,0,business,Middle-aged,100.71428571428571,4,2
31,male,skilled,own,moderate,moderate,1449,6,0,business,Young,241.5,2,2
23,female,skilled,rent,little,rich,392,15,0,education,Young,26.133333333333333,1,3
28,male,unskilled_and_non-resident,rent,little,moderate,6260,18,0,car,Young,347.77777777777777,1,2
25,female,skilled,own,little,little,7855,36,1,car,Young,218.19444444444446,1,1
35,male,skilled,own,quite rich,little,1680,12,0,radio/TV,Middle-aged,140.0,4,1
47,male,skilled,own,little,moderate,3578,48,0,radio/TV,Middle-aged,74.54166666666667,1,2
30,female,highly skilled,own,little,little,7174,42,1,radio/TV,Young,170.8095238095238,1,1
27,female,skilled,rent,little,little,2132,10,0,furniture/equipment,Young,213.2,1,1
23,female,skilled,own,quite rich,little,4281,33,1,furniture/equipment,Young,129.72727272727272,4,1
36,male,highly skilled,own,quite rich,moderate,2366,12,0,car,Middle-aged,197.16666666666666,4,2
25,female,skilled,own,little,little,1835,21,1,radio/TV,Young,87.38095238095238,1,1
41,female,highly skilled,rent,little,little,3868,24,0,car,Middle-aged,161.16666666666666,1,1
24,male,unskilled_and_non-resident,rent,little,little,1768,12,0,furniture/equipment,Young,147.33333333333334,1,1
63,male,skilled,free,little,rich,781,10,0,car,Middle-aged,78.1,1,3
27,female,skilled,rent,little,moderate,1924,18,1,furniture/equipment,Young,106.88888888888889,1,2
30,male,skilled,own,little,little,2121,12,0,car,Young,176.75,1,1
40,male,unskilled_and_non-resident,own,little,little,701,12,0,radio/TV,Middle-aged,58.416666666666664,1,1
30,male,skilled,own,little,moderate,639,12,1,repairs,Young,53.25,1,2
34,male,highly skilled,own,little,moderate,1860,12,0,car,Young,155.0,1,2
29,female,skilled,own,little,little,3499,12,1,car,Young,291.5833333333333,1,1
24,female,skilled,own,little,moderate,8487,48,0,car,Young,176.8125,1,2
29,male,skilled,own,little,little,6887,36,1,education,Young,191.30555555555554,1,1
27,male,unskilled_and_non-resident,own,little,little,2708,15,0,furniture/equipment,Young,180.53333333333333,1,1
47,male,skilled,free,little,little,1984,18,0,furniture/equipment,Middle-aged,110.22222222222223,1,1
21,female,skilled,own,moderate,moderate,10144,60,0,radio/TV,Young,169.06666666666666,2,2
38,female,skilled,own,little,moderate,1240,12,0,radio/TV,Middle-aged,103.33333333333333,1,2
27,male,skilled,own,rich,moderate,8613,27,0,car,Young,319.0,3,2
66,male,unskilled_and_non-resident,own,quite rich,moderate,766,12,1,radio/TV,Retired,63.833333333333336,4,2
35,male,skilled,own,little,moderate,2728,15,0,radio/TV,Middle-aged,181.86666666666667,1,2
44,female,unskilled_and_non-resident,rent,little,rich,1881,12,0,radio/TV,Middle-aged,156.75,1,3
27,male,unskilled_and_non-resident,own,rich,rich,709,6,0,car,Young,118.16666666666667,3,3
30,female,highly skilled,own,little,moderate,4795,36,0,radio/TV,Young,133.19444444444446,1,2
27,male,highly skilled,own,little,little,3416,27,0,radio/TV,Young,126.51851851851852,1,1
22,male,skilled,own,little,little,2462,18,1,furniture/equipment,Young,136.77777777777777,1,1
23,female,skilled,own,little,little,2288,21,0,furniture/equipment,Young,108.95238095238095,1,1
30,male,skilled,own,moderate,moderate,3566,48,0,business,Young,74.29166666666667,2,2
39,female,skilled,own,little,little,860,6,0,car,Middle-aged,143.33333333333334,1,1
51,female,skilled,own,moderate,moderate,682,12,0,car,Middle-aged,56.833333333333336,2,2
28,male,skilled,own,little,little,5371,36,0,furniture/equipment,Young,149.19444444444446,1,1
46,male,skilled,own,rich,moderate,1582,18,0,radio/TV,Middle-aged,87.88888888888889,3,2
42,male,skilled,free,moderate,moderate,1346,6,0,radio/TV,Middle-aged,224.33333333333334,2,2
38,male,skilled,own,little,little,1924,10,0,radio/TV,Middle-aged,192.4,1,1
24,male,skilled,own,little,rich,5848,36,0,radio/TV,Young,162.44444444444446,1,3
29,female,skilled,rent,rich,moderate,7758,24,0,car,Young,323.25,3,2
36,male,highly skilled,rent,moderate,moderate,6967,24,0,business,Middle-aged,290.2916666666667,2,2
20,female,skilled,rent,little,little,1282,12,1,furniture/equipment,Young,106.83333333333333,1,1
48,male,skilled,own,moderate,little,1288,9,0,repairs,Middle-aged,143.11111111111111,2,1
45,male,unskilled_and_non-resident,own,little,little,339,12,0,education,Middle-aged,28.25,1,1
38,male,skilled,own,moderate,moderate,3512,24,0,car,Middle-aged,146.33333333333334,2,2
34,male,unskilled_and_non-resident,own,little,moderate,1898,6,0,radio/TV,Young,316.3333333333333,1,2
36,male,skilled,own,moderate,moderate,2872,24,0,radio/TV,Middle-aged,119.66666666666667,2,2
30,female,skilled,own,little,little,1055,18,0,car,Young,58.611111111111114,1,1
36,male,skilled,own,quite rich,moderate,1262,15,0,domestic appliances,Middle-aged,84.13333333333334,4,2
70,male,highly skilled,free,little,moderate,7308,10,0,car,Retired,730.8,1,2
36,male,skilled,own,quite rich,moderate,909,36,0,car,Middle-aged,25.25,4,2
32,male,skilled,own,quite rich,moderate,2978,6,0,furniture/equipment,Young,496.3333333333333,4,2
33,female,skilled,own,little,little,1131,18,1,furniture/equipment,Young,62.833333333333336,1,1
20,female,skilled,own,rich,moderate,1577,11,0,furniture/equipment,Young,143.36363636363637,3,2
25,female,skilled,rent,little,little,3972,24,0,furniture/equipment,Young,165.5,1,1
31,male,skilled,own,little,moderate,1935,24,1,business,Young,80.625,1,2
33,male,skilled,rent,little,little,950,15,1,car,Young,63.333333333333336,1,1
26,female,skilled,own,little,little,763,12,0,furniture/equipment,Young,63.583333333333336,1,1
34,female,highly skilled,own,little,moderate,2064,24,1,furniture/equipment,Young,86.0,1,2
33,male,skilled,own,little,moderate,1414,8,0,radio/TV,Young,176.75,1,2
26,male,skilled,own,little,little,3414,21,1,education,Young,162.57142857142858,1,1
53,female,highly skilled,own,little,moderate,7485,30,1,car,Middle-aged,249.5,1,2
42,male,skilled,own,little,little,2577,12,0,furniture/equipment,Middle-aged,214.75,1,1
52,male,skilled,own,quite rich,little,338,6,0,radio/TV,Middle-aged,56.333333333333336,4,1
31,male,highly skilled,rent,little,little,1963,12,0,radio/TV,Young,163.58333333333334,1,1
65,male,skilled,own,little,little,571,21,0,car,Retired,27.19047619047619,1,1
28,male,skilled,own,little,little,9572,36,1,business,Young,265.8888888888889,1,1
30,male,highly skilled,own,little,moderate,4455,36,1,business,Young,123.75,1,2
40,male,unskilled_and_non-resident,own,little,little,1647,21,1,car,Middle-aged,78.42857142857143,1,1
50,male,skilled,own,rich,moderate,3777,24,0,furniture/equipment,Middle-aged,157.375,3,2
36,male,skilled,own,little,moderate,884,18,1,car,Middle-aged,49.111111111111114,1,2
31,male,skilled,own,little,little,1360,15,0,radio/TV,Young,90.66666666666667,1,1
74,female,highly skilled,free,little,moderate,5129,9,1,car,Retired,569.8888888888889,1,2
68,male,unskilled_and_non-resident,free,little,moderate,1175,16,0,car,Retired,73.4375,1,2
20,male,skilled,own,moderate,little,674,12,1,radio/TV,Young,56.166666666666664,2,1
33,female,skilled,own,little,moderate,3244,18,0,furniture/equipment,Young,180.22222222222223,1,2
54,male,highly skilled,own,rich,moderate,4591,24,1,business,Middle-aged,191.29166666666666,3,2
34,male,unskilled_and_non-resident,free,moderate,moderate,3844,48,1,business,Young,80.08333333333333,2,2
36,male,skilled,own,little,moderate,3915,27,1,business,Middle-aged,145.0,1,2
29,male,skilled,rent,little,little,2108,6,0,radio/TV,Young,351.3333333333333,1,1
21,male,skilled,rent,moderate,moderate,3031,45,1,radio/TV,Young,67.35555555555555,2,2
34,female,highly skilled,own,little,moderate,1501,9,1,education,Young,166.77777777777777,1,2
28,female,skilled,own,little,little,1382,6,0,radio/TV,Young,230.33333333333334,1,1
27,female,skilled,rent,moderate,moderate,951,12,1,furniture/equipment,Young,79.25,2,2
36,male,skilled,free,little,moderate,2760,24,0,car,Middle-aged,115.0,1,2
40,male,highly skilled,own,little,moderate,4297,18,1,furniture/equipment,Middle-aged,238.72222222222223,1,2
52,male,skilled,own,quite rich,moderate,936,9,0,education,Middle-aged,104.0,4,2
27,male,unskilled_and_non-resident,own,little,little,1168,12,0,car,Young,97.33333333333333,1,1
26,male,skilled,own,little,little,5117,27,0,business,Young,189.5185185185185,1,1
21,male,skilled,rent,little,little,902,12,1,education,Young,75.16666666666667,1,1
38,male,unskilled_and_non-resident,own,little,little,1495,12,0,car,Middle-aged,124.58333333333333,1,1
38,male,highly skilled,free,little,little,10623,30,0,car,Middle-aged,354.1,1,1
43,male,skilled,own,little,little,1935,12,0,furniture/equipment,Middle-aged,161.25,1,1
26,male,skilled,own,little,moderate,1424,12,0,domestic appliances,Young,118.66666666666667,1,2
21,male,unskilled_and_non-resident,own,little,little,6568,24,0,business,Young,273.6666666666667,1,1
55,male,skilled,own,rich,moderate,1413,12,0,car,Middle-aged,117.75,3,2
33,male,skilled,own,little,moderate,3074,9,0,radio/TV,Young,341.55555555555554,1,2
45,female,unskilled_and_non-resident,own,little,moderate,3835,36,0,radio/TV,Middle-aged,106.52777777777777,1,2
50,male,skilled,own,little,little,5293,27,1,business,Middle-aged,196.03703703703704,1,1
66,male,highly skilled,own,little,rich,1908,30,1,business,Retired,63.6,1,3
51,male,skilled,own,little,moderate,3342,36,0,radio/TV,Middle-aged,92.83333333333333,1,2
39,female,unskilled_and_non-resident,own,little,moderate,932,6,0,education,Middle-aged,155.33333333333334,1,2
31,male,skilled,own,little,little,3104,18,0,business,Young,172.44444444444446,1,1
23,male,skilled,own,little,rich,3913,36,0,radio/TV,Young,108.69444444444444,1,3
24,male,unskilled_and_non-resident,rent,little,little,3021,24,0,furniture/equipment,Young,125.875,1,1
64,female,skilled,own,little,little,1364,10,0,car,Middle-aged,136.4,1,1
26,male,unskilled_and_non-resident,own,little,moderate,625,12,0,radio/TV,Young,52.083333333333336,1,2
23,female,skilled,rent,little,little,1200,12,0,education,Young,100.0,1,1
30,male,skilled,own,little,little,707,12,0,radio/TV,Young,58.916666666666664,1,1
32,male,skilled,own,little,moderate,2978,24,0,business,Young,124.08333333333333,1,2
30,male,skilled,own,little,little,4657,15,0,car,Young,310.46666666666664,1,1
27,male,skilled,own,little,little,2613,36,0,repairs,Young,72.58333333333333,1,1
27,male,skilled,own,rich,moderate,10961,48,1,radio/TV,Young,228.35416666666666,3,2
53,male,highly skilled,free,little,little,7865,12,1,furniture/equipment,Middle-aged,655.4166666666666,1,1
22,male,skilled,own,little,little,1478,9,1,radio/TV,Young,164.22222222222223,1,1
22,male,skilled,free,little,little,3149,24,0,furniture/equipment,Young,131.20833333333334,1,1
26,male,skilled,own,little,rich,4210,36,1,radio/TV,Young,116.94444444444444,1,3
51,male,unskilled_and_non-resident,free,quite rich,moderate,2507,9,0,car,Middle-aged,278.55555555555554,4,2
35,male,skilled,own,moderate,moderate,2141,12,0,radio/TV,Middle-aged,178.41666666666666,2,2
25,male,unskilled_and_non-resident,own,little,moderate,866,18,0,radio/TV,Young,48.111111111111114,1,2
42,male,unskilled_and_non-resident,own,little,little,1544,4,0,radio/TV,Middle-aged,386.0,1,1
30,male,highly skilled,own,little,little,1823,24,1,radio/TV,Young,75.95833333333333,1,1
23,male,unskilled_and_non-resident,own,little,moderate,14555,6,1,car,Young,2425.8333333333335,1,2
61,male,unskilled_and_non-resident,rent,moderate,moderate,2767,21,1,business,Middle-aged,131.76190476190476,2,2
35,female,skilled,own,little,little,1291,12,0,radio/TV,Middle-aged,107.58333333333333,1,1
39,male,skilled,own,little,little,2522,30,0,radio/TV,Middle-aged,84.06666666666666,1,1
29,female,skilled,own,little,little,915,24,1,car,Young,38.125,1,1
51,male,skilled,own,little,little,1595,6,0,radio/TV,Middle-aged,265.8333333333333,1,1
24,male,skilled,free,little,little,4605,48,1,car,Young,95.9375,1,1
27,female,skilled,own,little,little,1185,12,0,business,Young,98.75,1,1
35,female,unskilled_and_non-resident,own,quite rich,moderate,3447,12,0,education,Middle-aged,287.25,4,2
25,male,skilled,own,little,little,1258,24,0,business,Young,52.416666666666664,1,1
52,male,skilled,own,little,little,717,12,0,radio/TV,Middle-aged,59.75,1,1
35,male,skilled,rent,moderate,moderate,1204,6,0,car,Middle-aged,200.66666666666666,2,2
26,male,skilled,own,little,rich,1925,24,0,furniture/equipment,Young,80.20833333333333,1,3
